RS-R1.0,品牌,车型
195/45R15,吉利,美人豹
,起亚,凯恩斯
195/45R16,名爵,名爵TF
195/50R15,双环,小贵族
,吉利,美人豹
,大众,捷达
,精灵,精灵
195/55R15,三菱,蓝瑟
,东南,菱悦
,丰田,卡瑞那
,别克,凯越
,吉利,中国龙
,哈飞,赛豹
,,赛马
,大众,CROSS波罗
,,波罗
,奇瑞,A5
,,E5
,,旗云
,,旗云3
,,风云2
,斯柯达,晶锐
,本田,思域
,,雅阁
,标致,206CC
,海马,普力马
,,欢动
,,海福星
,,海马3
,,福美来
,现代,美佳
,,雅绅特
,瑞麒,瑞麒G3
,起亚,Rio
,铃木,利亚纳
,长安,悦翔
,雪佛兰,乐风
,雪铁龙,赛纳
,马自达,323
205/45R16,大众,CROSS波罗
,,波罗
,斯柯达,晶锐
,标致,206
205/50R15,吉利,中国龙
,大众,GTI
,,VENTO
,现代,酷贝
205/50R16,三菱,蓝瑟
,东风,风神H30
,,风神H30 Cross
,,风神S30
,名爵,名爵3
,标致,405
,海马,欢动
,,海马3
,现代,伊兰特
,莲花,莲花L5
,起亚,赛拉图
,,赛拉图欧风
,马自达,马自达MX-5
205/50R17,中华,中华
,,酷宝
,宝马,120I
,日产,骐达
,标致,307CC
,沃尔沃,C30
205/55R15,丰田,赛利卡
,沃尔沃,S70
205/55R16,一汽,奔腾
,三菱,日蚀
,,格兰
,东风,景逸
,中华,中华
,,中华H530
,,酷宝
,,骏捷
,,骏捷FRV
,,骏捷FSV
,,骏捷Wagon
,丰田,ZELAS
,,卡罗拉
,,美佳
,五十铃,TROOPER
,全球鹰,GC7
,吉利,远景
,大众,GTI
,,宝来
,,帕萨特
,,捷达
,,新甲壳虫
,,朗逸
,,甲壳虫
,,迈腾
,,途安
,,速腾
,,领驭
,,高尔夫
,奇瑞,A3
,,东方之子
,,东方之子Cross
,奔驰,A160
,,C180
,帝豪,帝豪EC718
,,帝豪EC7-RV
,广汽,传祺
,斯巴鲁,翼狮
,,翼豹
,斯柯达,昊锐
,,明锐
,日产,天际线
,,帅客
,本田,思域
,,雅阁
,标致,306
,,307
,,307CC
,,307SW
,,308
,欧宝,赛飞利
,,雅特
,江淮,和悦
,,和悦RS
,,宾悦
,沃尔沃,C30
,,S40
,海马,福美来
,现代,i30
,,伊兰特悦动
,,酷派
,福特,福克斯
,,蒙迪欧
,,蒙迪欧致胜
,英伦,海景
,荣威,荣威350
,菲亚特,克罗玛
,,博悦
,起亚,SOUL
,,狮跑
,,福瑞迪
,,赛拉图
,,远舰
,长城,嘉誉
,,腾翼C50
,雪佛兰,景程
,,爱唯欧
,,骑士
,雪铁龙,C4
,,世嘉
,雷诺,拉古娜
,,梅甘娜
,,梅甘娜 CC
,马自达,5 Series
,,马自达3
,,马自达3星骋
,,马自达6
215/40R18,现代,飞思
215/45R17,奔驰,A180
,,B200
,斯巴鲁,力狮
,本田,S2000
,现代,劳恩斯
,,酷派
,,酷贝
,起亚,速迈
215/55R16,名爵,名爵
,,名爵6
,,名爵7
,,名爵TF
,大众,宝来
,,帕萨特
,,沙兰
,,迈腾
,,领驭
,奔驰,E320
,奥迪,A4
,,奥迪A4
,,奥迪A6
,,奥迪A6L
,帝豪,帝豪EC718
,,帝豪EC7-RV
,斯柯达,弗雷西亚
,日产,光荣
,,公爵王
,,风度
,标致,308
,,406
,,标致408
,欧宝,威达
,沃尔沃,C70
,福特,蒙迪欧
,,蒙迪欧致胜
,荣威,荣威550
,,荣威750
,雪铁龙,C4
,,凯旋
,,帕斯卡
,,毕加索
,马自达,MILLENIA
215/55R17,三菱,格蓝迪
,中华,骏捷Wagon
,丰田,凯美瑞
,,锐志
,大众,帕萨特
,帝豪,帝豪EC8
,斯巴鲁,傲虎
,,力狮
,日产,天籁
,,天际线
,,奥蒂玛
,本田,奥德赛
,标致,407
,,标致508
,比亚迪,比亚迪M6
,现代,索纳塔
,瑞麒,瑞麒G6
,红旗,盛世(HQ3)
,起亚,K5
,雪佛兰,沃蓝达
,雷克萨斯,ES
225/40R18,大众,高尔夫
,福特,福克斯
,,蒙迪欧
225/45R17,大众,GTI
,,宝来
,,朗逸
,,速腾
,,高尔夫
,奔驰,C180
,,C200
,,C200K
,,C230
,,C260
,,C280
,,C300
,奥迪,A3
,宝马,318I
,,320I
,,325CI
,,325i
,,330CI
,,330I
,,335I
,广汽,传祺
,斯柯达,明锐
,日产,SENTRA
,标致,308
,比亚迪,比亚迪M6
,沃尔沃,C70
,莲花,爱丽丝
225/50R16,丰田,SUPRA
,,速拉娜
,卡罗,卡罗
,奔驰,CLK240
,,CLK280
,,CLK320
,奥迪,S6
,宝马,318I
,,320I
,,325CI
,,325i
,马自达,马自达RX
225/50R17,三菱,日蚀
,奥迪,A5
,,A6
,宝马,325i
,标致,3008
,,607
,福特,蒙迪欧致胜
225/55R16,丰田,SOARER
,凯迪拉克,CTS
,奔驰,C200
,,C200K
,,C280
,,C300
,奥迪,A1
,,A4
,,A5
,,A6
,宝马,318I
,,320I
,,325i
,,520I
,标致,607
,欧宝,欧米茄
225/55R17,克莱斯勒,300M
,别克,君威
,,君越
,,林荫大道
,宝马,520Li
,,523Li
,,525I
,,528Li
,斯巴鲁,森林人
,现代,百年
,英菲尼迪,英菲尼迪G
,起亚,凯尊
,雪佛兰,景程
,雪铁龙,C5
,,C6
225/60R16,丰田,世纪
,克莱斯勒,君主
,别克,GL8
,,君威
,,君越
,,林荫大道
,华泰,B11
,现代,君爵
,,雅尊
,,雅科仕
,红旗,红旗
,,红旗旗舰
,起亚,嘉华
,,欧菲莱斯
,雪佛兰,鲁米那
,雪铁龙,C5
235/40R17,兰博基尼,鬼怪
235/40R18,大众,R36
,奔驰,E55 AMG
,奥迪,R8
235/45R17,大众,CC
,,大众CC
,,帕萨特
,,迈腾
,奥迪,奥迪A4
,斯巴鲁,翼狮
,,翼豹
,福特,蒙迪欧
,,蒙迪欧致胜
245/40R18,三菱,蓝瑟
,奔驰,500SE
,,500SEL
,,CLS 63 AMG
,,CLS350
,,CLS500
,奥迪,S5
,,S8
,,TT
,宝马,760LI
,,M3
,斯巴鲁,翼狮
,沃尔沃,S80
,雪佛兰,克尔维特
,雷克萨斯,GS
,,SC
245/45R18,凯迪拉克,CTS
,别克,君威
,,君越
,,林荫大道
,奔驰,S55
,,SLK550
,,唯雅诺
,奥迪,A7
,,ALLROAD
,日产,350Z
,现代,酷派
,英菲尼迪,英菲尼迪G
,,英菲尼迪M
,雪铁龙,C6