编号,花纹,规格描述,,配套车型
1,SF-510,215/70R16,100S,福特翼虎/进口.丰田RAV4.奇瑞瑞虎.马自达Tribute Iki 2.3.奇瑞天途.三菱OUTLANDER EX
2,SF-510,225/70R16,103S,现代圣达菲（SUV).北京奔驰Jeep2500、2700.河北中兴金狮GL.铃木Grand Vitara.切诺基2003版.瑞风.北京吉普之星.切诺基2500   福特 Explore 铃木VITARA/GRAND VITARA.
,SF-510,225/75R16,104S,
3,SF-510,235/65R17,104S,长城哈佛CUV  双环CEO 曙光傲龙 宝马X5/进口 保时捷卡宴V6/进口 沃尔沃XC90/进口 凯迪拉克SRX  大切诺基Laredo/进口 Jeep自由人/进口 三菱Endavor/进口
4,SF-510,235/70R16,106S,吉普自由人/进口.福特翼虎/进口.韩国双龙.福特探索者(SUV).陆虎发现.中兴四驱旗舰.马自达TRIBUTE 3.0 V6
5,SF-510,235/75R15,105S,长城赛弗.赛影.赛骏/北京吉普超级切诺基2.5.江铃宝典.北汽福田.金杯雪佛兰开拓者.中兴旗舰 现代特拉卡3.5进口.现代GALLOPER 双龙KODRADO 2300
6,SF-510,245/65R17,107S,"丰田汉兰达,2005款大切诺基.金杯通用开拓者.林肯Aviator..通用05款GMC ENVOY.奥兹莫比Bravada"
7,SF-510,245/70R16,107S,郑州日产帕拉丁.帕杰罗速跑3.0 .大切诺基4000/4700  起亚索兰托/进口.北京吉普.现代特拉卡3.5.奥丁2.9/3.2L柴油5MT豪华四驱型
,SF-510,245/70R17,110S,
,SF-510,245/75R16,111S,
,SF-510,255/70R16,111S,
8,SF-510,265/65R17,112S,四川丰田普拉多.丰田Sequoia Limited.尼桑Frontier皮卡.日产Xterra.三菱帕杰罗V73/V75.丰田霸道普拉多VX/GX.三菱蒙特拉.雷克萨斯GX470/RX.道奇
9,SF-510,265/70R16,112S,长丰三菱帕杰罗V73 V6   帕杰罗GLS   丰田陆地巡洋舰2700/3400 北汽陆霸3400.富奇系列.丰田霸道2700.北汽福田BJ6470.日产途乐
,SF-510,265/70R17,115S,
,SF-510,265/75R16,116S,
10,SF-510,30*9.50R15LT,104R,长城赛弗改装   三菱帕杰罗速跑改装 特拉卡改装
11,SF-510,31*10.50R15LT,109R,三菱帕杰罗速跑V6 3000  长丰猎豹CF A2030A/B V6.云豹 YB途乐2030.长城大脚兽. 陆地巡洋舰2700/3400改装.北京吉普. 福特探索者
,SF-510,LT215/85R16,115/112R,
12,SF-510,LT225/75R16,115/112R,中兴驰野2.2  万丰心速威.万丰泰威.吉普索兰托(SUV).进口五十铃吉普
13,SF-510,LT235/75R15,104/101R,长城赛弗.赛影.赛骏/北京吉普超级切诺基2.5.江铃宝典.北汽福田.金杯雪佛兰开拓者.中兴旗舰 现代特拉卡3.5进口.现代GALLOPER 双龙KODRADO 2300
14,SF-510,LT235/85R16,120/116R,"丰田FJ酷路泽 丰田霸道,三菱吉普.陆虎DEFENDER2.5南京依维柯,吉奥帅凌2.4两驱,长丰猎豹旗舰2.4、奇兵2.4,长丰猎豹黑金刚"
15,SF-510,LT245/75R16,120/116R,江铃陆风  中兴金狮  庆铃竞技者 牧马人无限鲁比科/进口  无限鲁比科/进口  尼桑领路者/进口.长丰猎豹.丰田吉普.大切诺基V8.雪佛兰Suburban.三菱帕杰罗GLX.五十铃吉普
16,SF-510,LT265/70R17,121/118R,长丰三菱帕杰罗V73 V6   帕杰罗GLS   丰田陆地巡洋舰2700/3400 北汽陆霸3400.富奇系列.丰田霸道2700.北汽福田BJ6470.日产途乐
17,SF-510,LT265/75R16,112/109R,丰田FJ 悍马H3.北汽勇士.福特Excursion..三菱吉普吉普二代军车.帕杰罗、猎豹、华泰吉田、途乐Y60（升级）、切诺基（升级）、庆铃RODEO、江铃陆风、陆地巡洋舰80（升级）、帕拉丁
,SF-510,,123/120R,
18,SF-510,LT285/75R16,122/119R,悍马H3.现代特拉卡.陆地巡洋舰.帕杰罗.途乐4800.
,,,,
,,,,